Trial number                                ,Testcase                                                                                                                                                                                      ,Alarm ,Crash ,Health ,Operator log ,Consistency                                                                                                                                                                                                                                   ,Differential                                                                                                                                      ,Custom
testrun-2024-03-15-11-08/trial-01-0003/0004 ,"{""field"": ""[\""spec\"", \""imagePullSecrets\""]"", ""testcase"": ""array-deletion""}"                                                                                                     ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-01-0003/0005 ,"{""field"": ""[\""spec\"", \""imagePullSecrets\""]"", ""testcase"": ""array-deletion""}"                                                                                                     ,True  ,      ,       ,             ,"message='Found no matching fields for input' input_diff=Diff(prev='ACTOKEY', curr='NotPresent', path=[""spec"", ""imagePullSecrets"", 0, ""name""]) system_state_diff=None"                                                                  ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-01-0004/0000 ,{}                                                                                                                                                                                            ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-01-0004/0001 ,"{""field"": ""[\""spec\"", \""imagePullSecrets\""]"", ""testcase"": ""array-push""}"                                                                                                         ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-01-0004/0002 ,"{""field"": ""[\""spec\"", \""imagePullSecrets\""]"", ""testcase"": ""array-push""}"                                                                                                         ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-01-0004/0003 ,"{""field"": ""[\""spec\"", \""imagePullSecrets\""]"", ""testcase"": ""array-pop""}"                                                                                                          ,True  ,      ,       ,             ,"message='Found no matching fields for input' input_diff=Diff(prev='ACTOKEY', curr='NotPresent', path=[""spec"", ""imagePullSecrets"", 0, ""name""]) system_state_diff=None"                                                                  ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-01-0005/0000 ,{}                                                                                                                                                                                            ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-01-0005/0001 ,"{""field"": ""[\""spec\"", \""imagePullSecrets\""]"", ""testcase"": ""array-empty""}"                                                                                                        ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-01-0005/0002 ,"{""field"": ""[\""spec\"", \""env\"", 0, \""valueFrom\"", \""configMapKeyRef\"", \""name\""]"", ""testcase"": ""invalid-name""}"                                                             ,True  ,      ,       ,             ,"message='Found no matching fields for input' input_diff=Diff(prev='broker-config', curr='INVALID_NAME', path=[""spec"", ""env"", 0, ""valueFrom"", ""configMapKeyRef"", ""name""]) system_state_diff=None"                                   ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-01-0006/0000 ,{}                                                                                                                                                                                            ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-02-0000/0000 ,{}                                                                                                                                                                                            ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-02-0000/0001 ,"{""field"": ""[\""spec\"", \""volumeClaimTemplates\"", 0, \""metadata\"", \""name\""]"", ""testcase"": ""invalid-name""}"                                                                    ,True  ,      ,       ,             ,"message='Found no matching fields for input' input_diff=Diff(prev='broker-storage', curr='INVALID_NAME', path=[""spec"", ""volumeClaimTemplates"", 0, ""metadata"", ""name""]) system_state_diff=None"                                       ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-02-0001/0000 ,{}                                                                                                                                                                                            ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-02-0001/0001 ,"{""field"": ""[\""spec\"", \""hostNetwork\""]"", ""testcase"": ""boolean-deletion""}"                                                                                                        ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-02-0001/0002 ,"{""field"": ""[\""spec\"", \""hostNetwork\""]"", ""testcase"": ""boolean-deletion""}"                                                                                                        ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-02-0001/0003 ,"{""field"": ""[\""spec\"", \""hostNetwork\""]"", ""testcase"": ""boolean-toggle-off""}"                                                                                                      ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-02-0001/0004 ,"{""field"": ""[\""spec\"", \""hostNetwork\""]"", ""testcase"": ""boolean-toggle-off""}"                                                                                                      ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-02-0001/0005 ,"{""field"": ""[\""spec\"", \""hostNetwork\""]"", ""testcase"": ""boolean-toggle-on""}"                                                                                                       ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-02-0001/0006 ,"{""field"": ""[\""spec\"", \""volumeClaimTemplates\""]"", ""testcase"": ""array-deletion""}"                                                                                                 ,True  ,      ,       ,             ,"message='Found no matching fields for input' input_diff=Diff(prev='broker-storage', curr='NotPresent', path=[""spec"", ""volumeClaimTemplates"", 0, ""metadata"", ""name""]) system_state_diff=None"                                         ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-02-0002/0000 ,{}                                                                                                                                                                                            ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-02-0002/0001 ,"{""field"": ""[\""spec\"", \""volumeClaimTemplates\""]"", ""testcase"": ""array-push""}"                                                                                                     ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-02-0002/0002 ,"{""field"": """", ""testcase"": ""revert""}"                                                                                                                                                 ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-02-0002/0003 ,"{""field"": ""[\""spec\"", \""volumeClaimTemplates\""]"", ""testcase"": ""array-pop""}"                                                                                                      ,True  ,      ,       ,             ,"message='Found no matching fields for input' input_diff=Diff(prev='broker-storage', curr='NotPresent', path=[""spec"", ""volumeClaimTemplates"", 0, ""metadata"", ""name""]) system_state_diff=None"                                         ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-02-0003/0000 ,{}                                                                                                                                                                                            ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-02-0003/0001 ,"{""field"": ""[\""spec\"", \""volumeClaimTemplates\""]"", ""testcase"": ""array-empty""}"                                                                                                    ,True  ,      ,       ,             ,"message='Found no matching fields for input' input_diff=Diff(prev='broker-storage', curr='NotPresent', path=[""spec"", ""volumeClaimTemplates"", 0, ""metadata"", ""name""]) system_state_diff=None"                                         ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-02-0004/0000 ,{}                                                                                                                                                                                            ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-02-0004/0001 ,"{""field"": ""[\""spec\"", \""volumes\"", 0, \""scaleIO\"", \""secretRef\"", \""name\""]"", ""testcase"": ""invalid-name""}"                                                                 ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-02-0004/0002 ,"{""field"": ""[\""spec\"", \""volumes\"", 0, \""csi\"", \""nodePublishSecretRef\"", \""name\""]"", ""testcase"": ""invalid-name""}"                                                          ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-02-0005/0000 ,{}                                                                                                                                                                                            ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-02-0005/0001 ,"{""field"": ""[\""spec\"", \""volumes\"", 0]"", ""testcase"": ""object-deletion""}"                                                                                                          ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-02-0005/0002 ,"{""field"": """", ""testcase"": ""revert""}"                                                                                                                                                 ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-02-0005/0003 ,"{""field"": ""[\""spec\"", \""volumes\"", 0]"", ""testcase"": ""object-empty""}"                                                                                                             ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-02-0005/0004 ,"{""field"": """", ""testcase"": ""revert""}"                                                                                                                                                 ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
